"term","frequency","density","occurrence"
"democratic",4,7.25465658269402e-05,0.006
"democratically",2,3.62732829134701e-05,0.002
"democrats",5,9.06832072836752e-05,0.004
"demographics",13,0.000235776338937556,0.016
"demonstrandum",1,1.8136641456735e-05,0.002
"demonstrated",1,1.8136641456735e-05,0.002
"demonstrations",1,1.8136641456735e-05,0.002
"deniability",2,3.62732829134701e-05,0.004
"denied",1,1.8136641456735e-05,0.002
"denies",2,3.62732829134701e-05,0.004
"denizens",1,1.8136641456735e-05,0.002
"denmark",2,3.62732829134701e-05,0.002
"dennis",1,1.8136641456735e-05,0.002
"dense",2,3.62732829134701e-05,0.004
"density",6,0.00010881984874041,0.008
"dentist",2,3.62732829134701e-05,0.004
"denver",3,5.44099243702051e-05,0.004
"deny",2,3.62732829134701e-05,0.004
"denying",1,1.8136641456735e-05,0.002
"dep",2,3.62732829134701e-05,0.004
"depart",2,3.62732829134701e-05,0.004
"department",23,0.000417142753504906,0.022
"departments",2,3.62732829134701e-05,0.004
"departures",1,1.8136641456735e-05,0.002
"depend",3,5.44099243702051e-05,0.006
"depended",1,1.8136641456735e-05,0.002
"dependence",2,3.62732829134701e-05,0.004
"dependencies",4,7.25465658269402e-05,0.008
"dependency",3,5.44099243702051e-05,0.006
"depending",5,9.06832072836752e-05,0.01
"depends",16,0.000290186263307761,0.026
"deployed",1,1.8136641456735e-05,0.002
"deploying",2,3.62732829134701e-05,0.004
"deployments",2,3.62732829134701e-05,0.002
"deportation",1,1.8136641456735e-05,0.002
"deposited",1,1.8136641456735e-05,0.002
"depressions",1,1.8136641456735e-05,0.002
"dept",4,7.25465658269402e-05,0.008
"depth",7,0.000126956490197145,0.004
"deputy",3,5.44099243702051e-05,0.004
"der",2,3.62732829134701e-05,0.004
"deraison",3,5.44099243702051e-05,0.002
"deregulation",1,1.8136641456735e-05,0.002
"derivatives",1,1.8136641456735e-05,0.002
"derived",2,3.62732829134701e-05,0.002
"dermody",2,3.62732829134701e-05,0.002
"dermodyritcarlowie",1,1.8136641456735e-05,0.002
"dermodys",1,1.8136641456735e-05,0.002
"dermot",4,7.25465658269402e-05,0.004
"descendants",1,1.8136641456735e-05,0.002
"descendents",1,1.8136641456735e-05,0.002
"describe",2,3.62732829134701e-05,0.004
"described",9,0.000163229773110615,0.014
"describing",3,5.44099243702051e-05,0.006
"description",4,7.25465658269402e-05,0.006
"descriptions",2,3.62732829134701e-05,0.004
"descriptor",1,1.8136641456735e-05,0.002
"desent",1,1.8136641456735e-05,0.002
"deserializedecryptrepackage",1,1.8136641456735e-05,0.002
"deserve",7,0.000126956490197145,0.014
"deserved death",1,1.8136641456735e-05,0.002
"design",17,0.000308322904764496,0.022
"designed",9,0.000163229773110615,0.018
"designer",1,1.8136641456735e-05,0.002
"designers",1,1.8136641456735e-05,0.002
"design pattern",2,3.62732829134701e-05,0.004
"designprogramming",1,1.8136641456735e-05,0.002
"designs",5,9.06832072836752e-05,0.008
"desintegrating",1,1.8136641456735e-05,0.002
"desire",5,9.06832072836752e-05,0.006
"desired",2,3.62732829134701e-05,0.004
"desk",1,1.8136641456735e-05,0.002
"desks",1,1.8136641456735e-05,0.002
"desktop",5,9.06832072836752e-05,0.002
"despicable",1,1.8136641456735e-05,0.002
"despise",1,1.8136641456735e-05,0.002
"despite",18,0.000326459546221231,0.034
"destabilise",1,1.8136641456735e-05,0.002
"destroy",1,1.8136641456735e-05,0.002
"destroyed",3,5.44099243702051e-05,0.006
"destroyer",1,1.8136641456735e-05,0.002
"destructive",1,1.8136641456735e-05,0.002
"destructor",1,1.8136641456735e-05,0.002
"destuctive",1,1.8136641456735e-05,0.002
"detache",1,1.8136641456735e-05,0.002
"detail",11,0.000199503056024085,0.018
"detailed",5,9.06832072836752e-05,0.008
"detailing",1,1.8136641456735e-05,0.002
"details",19,0.000344596187677966,0.03
"detect",2,3.62732829134701e-05,0.004
"detected",1,1.8136641456735e-05,0.002
"detecting",1,1.8136641456735e-05,0.002
"detector",1,1.8136641456735e-05,0.002
"detects",2,3.62732829134701e-05,0.002
"determine",1,1.8136641456735e-05,0.002
"determined",3,5.44099243702051e-05,0.006
"deterred",1,1.8136641456735e-05,0.002
"deterrent",1,1.8136641456735e-05,0.002
"deterrents",1,1.8136641456735e-05,0.002
"dethpicable",1,1.8136641456735e-05,0.002
"detractors",1,1.8136641456735e-05,0.002
"detrimental",1,1.8136641456735e-05,0.002
"dev",3,5.44099243702051e-05,0.006
"devcdrom",1,1.8136641456735e-05,0.002
"devdvd",2,3.62732829134701e-05,0.002
"develop",3,5.44099243702051e-05,0.006
"developed",17,0.000308322904764496,0.026
"developer",8,0.00014509313165388,0.012
"developers",1,1.8136641456735e-05,0.002
"developing",6,0.00010881984874041,0.012
"development",12,0.00021763969748082,0.022
"devfd",1,1.8136641456735e-05,0.002
"deviations",1,1.8136641456735e-05,0.002
"device",26,0.000471552677875111,0.038
"devices",6,0.00010881984874041,0.006
"deviceuri",1,1.8136641456735e-05,0.002
"devils",1,1.8136641456735e-05,0.002
"devmd",3,5.44099243702051e-05,0.002
"devoir",1,1.8136641456735e-05,0.002
"devote",1,1.8136641456735e-05,0.002
"devotees",6,0.00010881984874041,0.004
"devotes",1,1.8136641456735e-05,0.002
"devpoll",4,7.25465658269402e-05,0.006
"dewdney",3,5.44099243702051e-05,0.004
"dexportsymtab",1,1.8136641456735e-05,0.002
"dexter",2,3.62732829134701e-05,0.004
"dga",1,1.8136641456735e-05,0.002
"dgsbtinternetcom",1,1.8136641456735e-05,0.002
"diageo",1,1.8136641456735e-05,0.002
"diagnosis",1,1.8136641456735e-05,0.002
"dial",3,5.44099243702051e-05,0.006
"dialer",1,1.8136641456735e-05,0.002
"dialling",1,1.8136641456735e-05,0.002
"dialog",2,3.62732829134701e-05,0.004
"dials",2,3.62732829134701e-05,0.004
"dialup",3,5.44099243702051e-05,0.004
"diamond",4,7.25465658269402e-05,0.004
"diamonds",1,1.8136641456735e-05,0.002
"diaz",3,5.44099243702051e-05,0.002
"dice",1,1.8136641456735e-05,0.002
"dichotomies",1,1.8136641456735e-05,0.002
"dichotomy",1,1.8136641456735e-05,0.002
"dicing",2,3.62732829134701e-05,0.004
"dictated",1,1.8136641456735e-05,0.002
"dictator",1,1.8136641456735e-05,0.002
"dictionary",4,7.25465658269402e-05,0.008
"did",4,7.25465658269402e-05,0.008
"didnt",10,0.00018136641456735,0.02
"die",6,0.00010881984874041,0.01
"died",14,0.000253912980394291,0.026
"diehard",1,1.8136641456735e-05,0.002
"diesel",18,0.000326459546221231,0.004
"dieselpowered",1,1.8136641456735e-05,0.002
"diet",1,1.8136641456735e-05,0.002
"dietrich",1,1.8136641456735e-05,0.002
"diferent",1,1.8136641456735e-05,0.002
"differ",2,3.62732829134701e-05,0.004
"difference",15,0.000272049621851026,0.028
"differences",5,9.06832072836752e-05,0.01
"different",8,0.00014509313165388,0.016
"differentiate",1,1.8136641456735e-05,0.002
"differnet",1,1.8136641456735e-05,0.002
"differs",1,1.8136641456735e-05,0.002
"difficult",17,0.000308322904764496,0.026
"difficulties",4,7.25465658269402e-05,0.006
"difficulty",6,0.00010881984874041,0.012
"dig",5,9.06832072836752e-05,0.01
"digest",1,1.8136641456735e-05,0.002
"digging",1,1.8136641456735e-05,0.002
"digit",1,1.8136641456735e-05,0.002
"digital",22,0.000399006112048171,0.018
"digital 
divide",1,1.8136641456735e-05,0.002
"dignified",1,1.8136641456735e-05,0.002
"digression",1,1.8136641456735e-05,0.002
"dijkstra",5,9.06832072836752e-05,0.01
"dijkstras",1,1.8136641456735e-05,0.002
"diligence",1,1.8136641456735e-05,0.002
"dilley",1,1.8136641456735e-05,0.002
"dimension",6,0.00010881984874041,0.01
"dimensional",1,1.8136641456735e-05,0.002
"dimensions",2,3.62732829134701e-05,0.004
"diminish",1,1.8136641456735e-05,0.002
"diners",2,3.62732829134701e-05,0.002
"dingy",1,1.8136641456735e-05,0.002
"dining",1,1.8136641456735e-05,0.002
"dinner",1,1.8136641456735e-05,0.002
"dino",2,3.62732829134701e-05,0.002
"dinter",1,1.8136641456735e-05,0.002
"diplomats",2,3.62732829134701e-05,0.004
"dippy",1,1.8136641456735e-05,0.002
"dir",4,7.25465658269402e-05,0.006
"direct",10,0.00018136641456735,0.008
"direct action",1,1.8136641456735e-05,0.002
"directed",1,1.8136641456735e-05,0.002
"direction",4,7.25465658269402e-05,0.006
"directives",1,1.8136641456735e-05,0.002
"directly",13,0.000235776338937556,0.026
"director",12,0.00021763969748082,0.022
"directories",1,1.8136641456735e-05,0.002
"directors",3,5.44099243702051e-05,0.006
"directory",25,0.000453416036418376,0.026
"directoryor",6,0.00010881984874041,0.012
"directv",6,0.00010881984874041,0.002
"dirksen",15,0.000272049621851026,0.002
"dirksens",5,9.06832072836752e-05,0.002
"dirty",4,7.25465658269402e-05,0.008
"dirtybomb",2,3.62732829134701e-05,0.004
"disabilities",1,1.8136641456735e-05,0.002
"disable",3,5.44099243702051e-05,0.004
"disabled",3,5.44099243702051e-05,0.006
" disable exmhlogwrite
 
  misc
 





exmhworkers mailing list
exmhworkersredhatcom
httpslistmanredhatcommailmanlistinfoexmhworkers

",1,1.8136641456735e-05,0.002
"disables",2,3.62732829134701e-05,0.004
"disabling",3,5.44099243702051e-05,0.006
"disagree",7,0.000126956490197145,0.014
"disagreement",1,1.8136641456735e-05,0.002
"disallow",1,1.8136641456735e-05,0.002
"disappear",2,3.62732829134701e-05,0.004
"disappearance",1,1.8136641456735e-05,0.002
"disappearing",4,7.25465658269402e-05,0.006
"disappointed",1,1.8136641456735e-05,0.002
"disappointing",2,3.62732829134701e-05,0.004
"disappointment",2,3.62732829134701e-05,0.004
"disapprobation",1,1.8136641456735e-05,0.002
"disapproves",1,1.8136641456735e-05,0.002
"disaster",5,9.06832072836752e-05,0.008
"disastrous",1,1.8136641456735e-05,0.002
"disbanding",1,1.8136641456735e-05,0.002
"disc",1,1.8136641456735e-05,0.002
"discharge",2,3.62732829134701e-05,0.004
"discipline",3,5.44099243702051e-05,0.006
"disciplines",1,1.8136641456735e-05,0.002
"disclaimer",4,7.25465658269402e-05,0.008
"disclose",2,3.62732829134701e-05,0.004
"disclosure",5,9.06832072836752e-05,0.008
"disclosures",1,1.8136641456735e-05,0.002
"disco",1,1.8136641456735e-05,0.002
"discount",3,5.44099243702051e-05,0.006
"discourage",2,3.62732829134701e-05,0.002
"discover",7,0.000126956490197145,0.01
"discovered",15,0.000272049621851026,0.026
"discoverers",1,1.8136641456735e-05,0.002
"discoveries",2,3.62732829134701e-05,0.004
"discovering",2,3.62732829134701e-05,0.004
"discovers",1,1.8136641456735e-05,0.002
"discovery",4,7.25465658269402e-05,0.004
"discrete",1,1.8136641456735e-05,0.002
"discuss",12,0.00021763969748082,0.018
"discussbr",1,1.8136641456735e-05,0.002
"discussed",4,7.25465658269402e-05,0.006
"discusses",1,1.8136641456735e-05,0.002
"discussing",8,0.00014509313165388,0.014
"discussion",3,5.44099243702051e-05,0.006
"discussions",2,3.62732829134701e-05,0.004
"disease",2,3.62732829134701e-05,0.004
"diseases",2,3.62732829134701e-05,0.004
"disengaged",1,1.8136641456735e-05,0.002
"disgrace",1,1.8136641456735e-05,0.002
"disgraceful",2,3.62732829134701e-05,0.004
"disguise",1,1.8136641456735e-05,0.002
"disgusted",1,1.8136641456735e-05,0.002
"dish",4,7.25465658269402e-05,0.002
"dishes",1,1.8136641456735e-05,0.002
"disintegration",3,5.44099243702051e-05,0.006
"disjunct",1,1.8136641456735e-05,0.002
"disk",18,0.000326459546221231,0.02
"disks",1,1.8136641456735e-05,0.002
"dislike",1,1.8136641456735e-05,0.002
"disliked",1,1.8136641456735e-05,0.002
"dismissed",3,5.44099243702051e-05,0.006
"disney",1,1.8136641456735e-05,0.002
"disneybut",1,1.8136641456735e-05,0.002
"disorientation",1,1.8136641456735e-05,0.002
"disparaging",3,5.44099243702051e-05,0.006
"display",13,0.000235776338937556,0.014
"displaying",1,1.8136641456735e-05,0.002
"displays",3,5.44099243702051e-05,0.004
"displeased",2,3.62732829134701e-05,0.004
"dispute",6,0.00010881984874041,0.006
"disputed",2,3.62732829134701e-05,0.002
"disputes",3,5.44099243702051e-05,0.004
"disrupted",1,1.8136641456735e-05,0.002
"disruption",1,1.8136641456735e-05,0.002
"dissatisfied",3,5.44099243702051e-05,0.006
"disseminate",1,1.8136641456735e-05,0.002
"dissemination",1,1.8136641456735e-05,0.002
"dissertation",2,3.62732829134701e-05,0.004
"dissident",3,5.44099243702051e-05,0.006
"dissonance",1,1.8136641456735e-05,0.002
"distance",5,9.06832072836752e-05,0.008
"distances",1,1.8136641456735e-05,0.002
"distancesquared",1,1.8136641456735e-05,0.002
"distant",2,3.62732829134701e-05,0.004
"distasteful",1,1.8136641456735e-05,0.002
"distinct",3,5.44099243702051e-05,0.006
"distinction",11,0.000199503056024085,0.02
"distinguishes",2,3.62732829134701e-05,0.004
"distorted",1,1.8136641456735e-05,0.002
"distorts",1,1.8136641456735e-05,0.002
"distraction",3,5.44099243702051e-05,0.006
"distress",1,1.8136641456735e-05,0.002
"distribute",3,5.44099243702051e-05,0.006
"distributed",2,3.62732829134701e-05,0.004
"distributing",1,1.8136641456735e-05,0.002
"distribution",8,0.00014509313165388,0.012
"distributionbarring",1,1.8136641456735e-05,0.002
"distributions",5,9.06832072836752e-05,0.008
"distributor",2,3.62732829134701e-05,0.004
"distributors",2,3.62732829134701e-05,0.004
"district",6,0.00010881984874041,0.012
"districts",1,1.8136641456735e-05,0.002
"distro",6,0.00010881984874041,0.012
"dists",1,1.8136641456735e-05,0.002
"distupgrade",1,1.8136641456735e-05,0.002
"disturbed",1,1.8136641456735e-05,0.002
"disturbing",1,1.8136641456735e-05,0.002
"disturbingly",1,1.8136641456735e-05,0.002
"dit",1,1.8136641456735e-05,0.002
"ditch",1,1.8136641456735e-05,0.002
"ditto",1,1.8136641456735e-05,0.002
"div",4,7.25465658269402e-05,0.002
"divfont",10,0.00018136641456735,0.002
"divine",2,3.62732829134701e-05,0.004
"division",3,5.44099243702051e-05,0.004
"divnbspdiv",1,1.8136641456735e-05,0.002
"divorce",7,0.000126956490197145,0.008
"divulge",1,1.8136641456735e-05,0.002
"divvy",1,1.8136641456735e-05,0.002
"divx",4,7.25465658269402e-05,0.006
"dkernel",1,1.8136641456735e-05,0.002
"dlinux",1,1.8136641456735e-05,0.002
"dls",1,1.8136641456735e-05,0.002
"dma",10,0.00018136641456735,0.004
"dmca",2,3.62732829134701e-05,0.004
"dmcaish",1,1.8136641456735e-05,0.002
"dmcmann",1,1.8136641456735e-05,0.002
"dmcmannb",1,1.8136641456735e-05,0.002
"dmesg",1,1.8136641456735e-05,0.002
"dmodule",1,1.8136641456735e-05,0.002
"dnas",2,3.62732829134701e-05,0.004
"dns",28,0.000507825960788581,0.012
"dnsdhcp",2,3.62732829134701e-05,0.004
"dnspm",1,1.8136641456735e-05,0.002
"dnsswapofflistsironcladnetau",3,5.44099243702051e-05,0.006
"dnuk",3,5.44099243702051e-05,0.004
"doable",1,1.8136641456735e-05,0.002
"doc",3,5.44099243702051e-05,0.002
"dock",1,1.8136641456735e-05,0.002
"docking",2,3.62732829134701e-05,0.002
"docks",3,5.44099243702051e-05,0.002
"docksbr",1,1.8136641456735e-05,0.002
"dockworkers",2,3.62732829134701e-05,0.002
"docs",6,0.00010881984874041,0.008
"docservercacwashingtonedu",1,1.8136641456735e-05,0.002
"doctor",2,3.62732829134701e-05,0.004
"doctors",3,5.44099243702051e-05,0.002
"doctrinal",1,1.8136641456735e-05,0.002
"doctrine",2,3.62732829134701e-05,0.002
"doctrines",1,1.8136641456735e-05,0.002
"doctype",1,1.8136641456735e-05,0.002
"document",3,5.44099243702051e-05,0.004
"documentary",1,1.8136641456735e-05,0.002
"documentation",8,0.00014509313165388,0.014
"documented",7,0.000126956490197145,0.012
"documents",11,0.000199503056024085,0.014
"dodgy",1,1.8136641456735e-05,0.002
"doent",1,1.8136641456735e-05,0.002
"does",10,0.00018136641456735,0.02
"doesnt",7,0.000126956490197145,0.012
"doesnt",1,1.8136641456735e-05,0.002
"doeswork",1,1.8136641456735e-05,0.002
"dog",12,0.00021763969748082,0.024
"dogged",3,5.44099243702051e-05,0.004
"dogs",1,1.8136641456735e-05,0.002
"doh",2,3.62732829134701e-05,0.004
"doing",3,5.44099243702051e-05,0.006
"doit",1,1.8136641456735e-05,0.002
"doj",2,3.62732829134701e-05,0.004
"dollar",3,5.44099243702051e-05,0.004
"dollars",8,0.00014509313165388,0.016
"dolls",1,1.8136641456735e-05,0.002
"dom",4,7.25465658269402e-05,0.008
"domain",15,0.000272049621851026,0.014
"domainnapping",1,1.8136641456735e-05,0.002
"domestic",1,1.8136641456735e-05,0.002
"dominance",1,1.8136641456735e-05,0.002
"dominant",13,0.000235776338937556,0.022
"dominant males are dethroned by rivals every
  months or so",2,3.62732829134701e-05,0.004
"dominant males are dethroned by rivals every
 months or so",2,3.62732829134701e-05,0.004
"dominant males  kill babies that
 are not their own",2,3.62732829134701e-05,0.004
"dominant males  kill babies that
are not their own",2,3.62732829134701e-05,0.004
"dominate",2,3.62732829134701e-05,0.004
"donal",1,1.8136641456735e-05,0.002
"donald",1,1.8136641456735e-05,0.002
"donate",1,1.8136641456735e-05,0.002
"done",5,9.06832072836752e-05,0.008
"donkeys",1,1.8136641456735e-05,0.002
"donnamarie",1,1.8136641456735e-05,0.002
"donncha",2,3.62732829134701e-05,0.002
"donors",1,1.8136641456735e-05,0.002
"do not breed",1,1.8136641456735e-05,0.002
"dont",26,0.000471552677875111,0.05
"dont",1,1.8136641456735e-05,0.002
"donut",3,5.44099243702051e-05,0.004
"doo",1,1.8136641456735e-05,0.002
"doobservation",1,1.8136641456735e-05,0.002
"dooby",1,1.8136641456735e-05,0.002
"doodle",1,1.8136641456735e-05,0.002
"doolin",3,5.44099243702051e-05,0.004
"doom",4,7.25465658269402e-05,0.006
"doomed",4,7.25465658269402e-05,0.006
"door",5,9.06832072836752e-05,0.006
"doormat",1,1.8136641456735e-05,0.002
"doors",5,9.06832072836752e-05,0.01
"dorin",1,1.8136641456735e-05,0.002
"dormitory",1,1.8136641456735e-05,0.002
"dorset",1,1.8136641456735e-05,0.002
"dos",1,1.8136641456735e-05,0.002
"dosages",1,1.8136641456735e-05,0.002
"dosagespp",1,1.8136641456735e-05,0.002
"dosh",1,1.8136641456735e-05,0.002
"dossier",1,1.8136641456735e-05,0.002
"do stuff when something happens",3,5.44099243702051e-05,0.006
"dot",1,1.8136641456735e-05,0.002
"double",3,5.44099243702051e-05,0.006
"doublebooking",2,3.62732829134701e-05,0.002
"doublemeaning",1,1.8136641456735e-05,0.002
"doubling",1,1.8136641456735e-05,0.002
"doubt",15,0.000272049621851026,0.028
"doubters",1,1.8136641456735e-05,0.002
"doubts",1,1.8136641456735e-05,0.002
"doughnut",1,1.8136641456735e-05,0.002
"doughnutland",1,1.8136641456735e-05,0.002
"douglas",1,1.8136641456735e-05,0.002
"dougy",2,3.62732829134701e-05,0.004
"down",18,0.000326459546221231,0.032
"downfontdiv",1,1.8136641456735e-05,0.002
"downhill",1,1.8136641456735e-05,0.002
"download",10,0.00018136641456735,0.018
"downloadable",1,1.8136641456735e-05,0.002
"downloaded",7,0.000126956490197145,0.014
"downloading",2,3.62732829134701e-05,0.004
"downloads",1,1.8136641456735e-05,0.002
"downsized",4,7.25465658269402e-05,0.008
"downsmaller",1,1.8136641456735e-05,0.002
"downstairs",1,1.8136641456735e-05,0.002
"downstream",1,1.8136641456735e-05,0.002
"downtime",1,1.8136641456735e-05,0.002
"downtown",1,1.8136641456735e-05,0.002
"downtrodden",1,1.8136641456735e-05,0.002
"downwards",1,1.8136641456735e-05,0.002
"dowson",1,1.8136641456735e-05,0.002
"doyles",1,1.8136641456735e-05,0.002
"dozen",11,0.000199503056024085,0.014
"dozens",1,1.8136641456735e-05,0.002
"dracula",4,7.25465658269402e-05,0.002
"draculas",1,1.8136641456735e-05,0.002
"drag",4,7.25465658269402e-05,0.008
"dragooned",1,1.8136641456735e-05,0.002
"dragster",4,7.25465658269402e-05,0.006
"dragsters",1,1.8136641456735e-05,0.002
"dragstrip",1,1.8136641456735e-05,0.002
"draining",1,1.8136641456735e-05,0.002
"dramatic",4,7.25465658269402e-05,0.008
"dramatically",2,3.62732829134701e-05,0.004
"draw",1,1.8136641456735e-05,0.002
"drawback",1,1.8136641456735e-05,0.002
"drawers",1,1.8136641456735e-05,0.002
"drawing",3,5.44099243702051e-05,0.006
"drawings",1,1.8136641456735e-05,0.002
"drawn",4,7.25465658269402e-05,0.008
"drdobbs",1,1.8136641456735e-05,0.002
"dreaded",1,1.8136641456735e-05,0.002
"dream",6,0.00010881984874041,0.012
"dreamed",1,1.8136641456735e-05,0.002
"dreams",10,0.00018136641456735,0.012
"dressed",2,3.62732829134701e-05,0.002
"drew",4,7.25465658269402e-05,0.008
"dri",1,1.8136641456735e-05,0.002
"dried",1,1.8136641456735e-05,0.002
"drier",1,1.8136641456735e-05,0.002
"drinking",1,1.8136641456735e-05,0.002
"drinks",2,3.62732829134701e-05,0.004
"drive",33,0.000598509168072256,0.028
"drivel",1,1.8136641456735e-05,0.002
"driven",1,1.8136641456735e-05,0.002
"driver",21,0.000380869470591436,0.036
"driver of the bus",1,1.8136641456735e-05,0.002
"drivers",11,0.000199503056024085,0.02
"drives",4,7.25465658269402e-05,0.006
"driving",7,0.000126956490197145,0.014
"drm",3,5.44099243702051e-05,0.004
"drms",1,1.8136641456735e-05,0.002
"drop",8,0.00014509313165388,0.012
"dropped",6,0.00010881984874041,0.012
"dropping",1,1.8136641456735e-05,0.002
"drops",2,3.62732829134701e-05,0.004
"drought",1,1.8136641456735e-05,0.002
"drove",4,7.25465658269402e-05,0.006
"drowning",1,1.8136641456735e-05,0.002
"drs",5,9.06832072836752e-05,0.008
"drug",2,3.62732829134701e-05,0.002
"drugs",1,1.8136641456735e-05,0.002
"drumming",1,1.8136641456735e-05,0.002
"drumroll",4,7.25465658269402e-05,0.008
"drunken",1,1.8136641456735e-05,0.002
"dsa",1,1.8136641456735e-05,0.002
"dsinternicnet",1,1.8136641456735e-05,0.002
"dsl",8,0.00014509313165388,0.012
"dslw",1,1.8136641456735e-05,0.002
"dtd",2,3.62732829134701e-05,0.004
"dti",1,1.8136641456735e-05,0.002
"dual",1,1.8136641456735e-05,0.002
"dualboot",1,1.8136641456735e-05,0.002
"dubbed",1,1.8136641456735e-05,0.002
"dublin",7,0.000126956490197145,0.01
"dubya",4,7.25465658269402e-05,0.008
"ducati",1,1.8136641456735e-05,0.002
"duck",1,1.8136641456735e-05,0.002
"ducks",2,3.62732829134701e-05,0.004
"dude",8,0.00014509313165388,0.008
"dudley",2,3.62732829134701e-05,0.002
"dudleyuk",1,1.8136641456735e-05,0.002
"dudzinski",2,3.62732829134701e-05,0.002
"due",18,0.000326459546221231,0.032
"dues",1,1.8136641456735e-05,0.002
"duffy",2,3.62732829134701e-05,0.002
"dug",4,7.25465658269402e-05,0.008
"duh",1,1.8136641456735e-05,0.002
"duke",3,5.44099243702051e-05,0.004
"duly",2,3.62732829134701e-05,0.004
"dumb",1,1.8136641456735e-05,0.002
"dumbstruck",1,1.8136641456735e-05,0.002
"dump",6,0.00010881984874041,0.012
"dun",2,3.62732829134701e-05,0.002
"duncan",30,0.000544099243702051,0.06
"duncan goldiescot",1,1.8136641456735e-05,0.002
"dundas",1,1.8136641456735e-05,0.002
"dungeons",1,1.8136641456735e-05,0.002
"dunno",8,0.00014509313165388,0.014
"duopoly",1,1.8136641456735e-05,0.002
"dup",1,1.8136641456735e-05,0.002
"duplicate",2,3.62732829134701e-05,0.002
"duplicated",1,1.8136641456735e-05,0.002
"duplicationdistribution",1,1.8136641456735e-05,0.002
"dups",1,1.8136641456735e-05,0.002
"durable",1,1.8136641456735e-05,0.002
"duration",2,3.62732829134701e-05,0.004
"durham",1,1.8136641456735e-05,0.002
"during",1,1.8136641456735e-05,0.002
"düsseldorf",1,1.8136641456735e-05,0.002
"dust",1,1.8136641456735e-05,0.002
"dustin",1,1.8136641456735e-05,0.002
"dusty",1,1.8136641456735e-05,0.002
"dutch",4,7.25465658269402e-05,0.002
"duties",1,1.8136641456735e-05,0.002
"dutton",1,1.8136641456735e-05,0.002
"duty",1,1.8136641456735e-05,0.002
"duvet",1,1.8136641456735e-05,0.002
"dvd",10,0.00018136641456735,0.01
"dvdrom",2,3.62732829134701e-05,0.004
"dvds",53,0.000961241997206957,0.106
"dwarfs",4,7.25465658269402e-05,0.008
"dwell",1,1.8136641456735e-05,0.002
"dying",2,3.62732829134701e-05,0.004
"dynamic",2,3.62732829134701e-05,0.004
"dynamite",1,1.8136641456735e-05,0.002
"dysfunctional",11,0.000199503056024085,0.014
"each",2,3.62732829134701e-05,0.004
"eagain",1,1.8136641456735e-05,0.002
"earle",1,1.8136641456735e-05,0.002
"earlier",16,0.000290186263307761,0.032
"earliest",4,7.25465658269402e-05,0.008
"earned",2,3.62732829134701e-05,0.004
"earning",1,1.8136641456735e-05,0.002
"earns",3,5.44099243702051e-05,0.006
"ears",3,5.44099243702051e-05,0.006
"ears of corn",1,1.8136641456735e-05,0.002
"earth",5,9.06832072836752e-05,0.01
"earthquake",2,3.62732829134701e-05,0.002
"ease",10,0.00018136641456735,0.02
"eases",1,1.8136641456735e-05,0.002
"easier",10,0.00018136641456735,0.016
"easierquicker",1,1.8136641456735e-05,0.002
"easiest",2,3.62732829134701e-05,0.004
"easily",22,0.000399006112048171,0.036
"east",8,0.00014509313165388,0.014
"eastern",1,1.8136641456735e-05,0.002
"easy",35,0.000634782450985726,0.062
"easygoing",1,1.8136641456735e-05,0.002
"eat",8,0.00014509313165388,0.016
"eaten",2,3.62732829134701e-05,0.004
"eateries",4,7.25465658269402e-05,0.004
"eating",5,9.06832072836752e-05,0.008
"eaton",1,1.8136641456735e-05,0.002
"eavbaqmbkgakkamcagnocsbzgvmcahewkadmauhevghvbirxqraweqxzlbgagwxhf",1,1.8136641456735e-05,0.002
"eavesdropped",1,1.8136641456735e-05,0.002
"ebay",8,0.00014509313165388,0.01
"ebays",1,1.8136641456735e-05,0.002
"ebuilt",7,0.000126956490197145,0.014
"eca",1,1.8136641456735e-05,0.002
"echo",5,9.06832072836752e-05,0.01
"echo ",3,5.44099243702051e-05,0.006
"echoed",1,1.8136641456735e-05,0.002
"echostar",20,0.000362732829134701,0.002
"echostars",2,3.62732829134701e-05,0.002
"eclipse",1,1.8136641456735e-05,0.002
"eclipseorg",1,1.8136641456735e-05,0.002
"ecommerce",2,3.62732829134701e-05,0.004
"economic",14,0.000253912980394291,0.02
"economically",1,1.8136641456735e-05,0.002
"economics",11,0.000199503056024085,0.022
"economies",1,1.8136641456735e-05,0.002
"economist",1,1.8136641456735e-05,0.002
"economy",25,0.000453416036418376,0.026
"ecosystem",2,3.62732829134701e-05,0.004
"écrite",1,1.8136641456735e-05,0.002
"ecs",1,1.8136641456735e-05,0.002
"edb",1,1.8136641456735e-05,0.002
"eddie",1,1.8136641456735e-05,0.002
"ede",1,1.8136641456735e-05,0.002
"eden",3,5.44099243702051e-05,0.002
"edgar",3,5.44099243702051e-05,0.002
"edge",7,0.000126956490197145,0.012
"edificio",1,1.8136641456735e-05,0.002
"edinburgh",8,0.00014509313165388,0.016
"edison",1,1.8136641456735e-05,0.002
"edit",1,1.8136641456735e-05,0.002
"edited",2,3.62732829134701e-05,0.004
"editing",1,1.8136641456735e-05,0.002
"edition",2,3.62732829134701e-05,0.004
"editor",6,0.00010881984874041,0.01
"editorial",3,5.44099243702051e-05,0.006
"editors",4,7.25465658269402e-05,0.006
"edmund",1,1.8136641456735e-05,0.002
"edsel",6,0.00010881984874041,0.004
